Rt,Inst,home,an_inc,ver,pur,dti,del,pb_rc,rev_bal,rev_util,class
0.1065,162.87,RENT,24000,Verified,credit_card,27.65,0,0,13648,0.837,Paid
0.1527,59.83,RENT,30000,Source Verified,car,1,0,0,1687,0.094,NotPaid
0.1596,84.33,RENT,12252,Not Verified,small_business,8.72,0,0,2956,0.985,Paid
0.1349,339.31,RENT,49200,Source Verified,other,20,0,0,5598,0.21,Paid
0.079,156.46,RENT,36000,Source Verified,wedding,11.2,0,0,7963,0.283,Paid
0.1596,170.08,RENT,47004,Not Verified,debt_consolidation,23.51,0,0,17726,0.856,Paid
0.1864,109.43,RENT,48000,Source Verified,car,5.35,0,0,8221,0.875,Paid
0.2128,152.39,OWN,40000,Source Verified,small_business,5.55,0,0,5210,0.326,NotPaid
0.1269,121.45,RENT,15000,Verified,other,18.08,0,0,9279,0.365,NotPaid
0.1465,153.45,OWN,72000,Not Verified,debt_consolidation,16.12,0,0,4032,0.206,Paid
0.1269,402.54,OWN,75000,Source Verified,debt_consolidation,10.78,0,0,23336,0.671,Paid
0.1349,305.38,RENT,30000,Source Verified,debt_consolidation,10.08,0,0,10452,0.917,NotPaid
0.0991,96.68,RENT,15000,Source Verified,credit_card,12.56,0,0,7323,0.431,Paid
0.1065,325.74,RENT,100000,Source Verified,other,7.06,0,0,11997,0.555,NotPaid
0.1629,35.31,RENT,28000,Not Verified,debt_consolidation,20.31,0,0,6524,0.815,Paid
0.1527,347.98,RENT,42000,Not Verified,home_improvement,18.6,0,0,24043,0.702,Paid
0.0603,109.57,MORTGAGE,110000,Not Verified,major_purchase,10.52,0,0,22836,0.16,Paid
0.1171,198.46,MORTGAGE,84000,Verified,medical,18.44,2,0,0,0.3773,Paid
0.0603,280.01,RENT,77385.19,Not Verified,debt_consolidation,9.86,0,0,7314,0.231,Paid
0.1527,484.63,RENT,43370,Verified,debt_consolidation,26.53,0,0,17813,0.856,Paid
0.1242,701.73,RENT,105000,Verified,debt_consolidation,13.22,0,0,32135,0.903,NotPaid
0.1171,330.76,OWN,50000,Source Verified,credit_card,11.18,0,0,10056,0.824,Paid
0.1171,330.76,RENT,50000,Not Verified,debt_consolidation,16.01,0,0,17800,0.918,Paid
0.1171,198.46,RENT,76000,Not Verified,major_purchase,2.4,0,0,5963,0.297,NotPaid
0.0991,483.38,MORTGAGE,92000,Verified,credit_card,29.44,0,0,13707,0.939,Paid
0.1427,514.64,RENT,60000,Not Verified,debt_consolidation,15.22,0,0,5872,0.576,NotPaid
0.1677,123.65,RENT,50004,Not Verified,other,13.97,3,0,4345,0.595,NotPaid
0.1171,132.31,MORTGAGE,106000,Not Verified,debt_consolidation,5.63,1,0,6110,0.377,Paid
0.1171,281.15,RENT,25000,Source Verified,credit_card,12.19,0,0,6441,0.591,Paid
0.0751,136.11,MORTGAGE,17108,Source Verified,debt_consolidation,20.34,0,0,11210,0.869,Paid
0.079,995.82,MORTGAGE,75000,Verified,debt_consolidation,14.03,0,0,23151,0.274,Paid
0.089,158.77,RENT,24044,Verified,debt_consolidation,11.93,0,0,2224,0.293,Paid
0.1596,245.97,RENT,34000,Source Verified,credit_card,6.35,0,0,6113,0.605,Paid
0.1065,403.91,RENT,41000,Not Verified,credit_card,11.8,0,0,11095,0.572,Paid
0.0991,348.03,RENT,55596,Source Verified,moving,5.5,0,0,2535,0.133,Paid
0.079,469.36,RENT,45000,Verified,debt_consolidation,8.48,0,0,6704,0.504,Paid
0.1242,200.5,RENT,36852,Source Verified,debt_consolidation,10.62,0,0,7310,0.665,Paid
0.0751,298.67,RENT,68004,Source Verified,other,6.63,0,0,2896,0.181,Paid
0.079,375.49,RENT,62300,Not Verified,debt_consolidation,16.7,0,0,8601,0.21,Paid
0.1825,108.84,MORTGAGE,65000,Not Verified,other,17.39,0,0,43936,0.981,Paid
0.1677,156.37,RENT,55000,Not Verified,debt_consolidation,20.01,0,0,25237,0.99,Paid
0.0603,182.62,MORTGAGE,45600,Not Verified,debt_consolidation,5.34,0,0,3378,0.325,Paid
0.0991,451.15,RENT,80000,Not Verified,small_business,10,0,0,2219,0.134,Paid
0.089,158.77,MORTGAGE,100000,Source Verified,debt_consolidation,16.33,0,0,74351,0.621,NotPaid
0.1065,325.74,RENT,27000,Verified,other,11.47,0,0,7814,0.523,Paid
0.0603,304.36,RENT,60000,Not Verified,credit_card,12.74,0,0,14019,0.195,Paid
0.0662,337.75,RENT,70000,Not Verified,debt_consolidation,10.85,0,0,11638,0.364,Paid
0.0991,483.38,MORTGAGE,80000,Not Verified,debt_consolidation,9.12,0,0,11845,0.637,NotPaid
0.0991,824.96,RENT,110000,Verified,credit_card,15.71,0,0,26088,0.62,Paid
0.1065,228.02,RENT,40000,Not Verified,debt_consolidation,7.38,0,0,12168,0.929,Paid
