Rt,Inst,home,an_inc,ver,pur,dti,del,pb_rc,rev_bal,rev_util,class
0.0662,168.88,RENT,40000,Not Verified,other,20.49,1,0,3179,0.331,Paid
0.1942,384.08,RENT,38500,Verified,debt_consolidation,22.66,0,0,24520,0.936,Notpaid
0.0751,65.34,RENT,8000,Verified,vacation,7.5,0,0,1127,0.103,Paid
0.1596,134.41,RENT,28500,Not Verified,debt_consolidation,23.54,0,0,5010,0.795,Notpaid
0.2352,660.97,MORTGAGE,85000,Verified,debt_consolidation,7.89,0,1,8625,0.991,Notpaid
0.0603,152.18,RENT,100000,Not Verified,debt_consolidation,2.4,0,0,2930,0.146,Paid
0.1465,413.94,MORTGAGE,45600,Source Verified,debt_consolidation,19.13,0,0,11399,0.934,Paid
0.1171,281.15,RENT,74000,Verified,credit_card,14.42,0,0,6402,0.454,Paid
0.089,381.04,MORTGAGE,76800,Not Verified,credit_card,18.94,0,0,13819,0.394,Paid
0.1242,696.18,MORTGAGE,96000,Source Verified,credit_card,14.14,0,0,24593,0.645,Paid
0.1065,271.77,MORTGAGE,55172,Not Verified,debt_consolidation,19.36,0,0,23020,0.305,Paid
0.1527,264.47,RENT,33000,Verified,major_purchase,23.78,0,0,10693,0.535,Paid
0.1677,97.74,RENT,16800,Source Verified,credit_card,19.71,0,0,2698,0.674,Paid
0.1171,661.52,RENT,72000,Verified,debt_consolidation,16.12,0,0,14345,0.839,Paid
0.0662,214.93,MORTGAGE,45600,Source Verified,car,12.92,0,0,13708,0.184,Paid
0.1065,228.02,RENT,80400,Source Verified,debt_consolidation,22.37,0,0,22554,0.374,Paid
0.0662,405.29,MORTGAGE,90000,Source Verified,debt_consolidation,3.03,0,0,17438,0.312,Paid
0.1171,198.46,RENT,48000,Source Verified,debt_consolidation,13.1,0,0,2374,0.376,Paid
0.1242,1169.54,MORTGAGE,185000,Verified,small_business,8.9,0,0,12232,0.349,Paid
0.1242,154.55,MORTGAGE,40000,Not Verified,medical,5.7,0,0,2240,0.176,Paid
0.1942,340.24,MORTGAGE,65000,Source Verified,debt_consolidation,8.62,0,0,14558,0.958,Paid
0.1465,264.4,RENT,50000,Source Verified,other,4.97,0,0,9309,0.364,Paid
0.0603,182.62,MORTGAGE,150000,Source Verified,home_improvement,8.1,0,0,10890,0.152,Paid
0.1864,453.08,MORTGAGE,65000,Verified,small_business,11.21,0,0,18284,0.858,Notpaid
0.1171,82.69,OWN,27600,Source Verified,major_purchase,1.48,0,0,376,0.289,Paid
0.0603,456.54,RENT,130000,Source Verified,debt_consolidation,2.23,0,0,0,0,Paid
0.1427,274.48,RENT,36000,Verified,debt_consolidation,7.3,1,0,1287,0.163,Notpaid
0.0991,483.38,MORTGAGE,95000,Verified,debt_consolidation,20.88,1,0,6802,0.479,Paid
0.1065,301.96,RENT,51996,Not Verified,other,14.15,0,0,5282,0.498,Paid
0.0662,116.68,OWN,79200,Not Verified,home_improvement,3.91,0,0,14344,0.026,Paid
